client_id,signup_date,last_activity,tenure_days,plan_tier,effective_fee,discount_pct,sessions_30d,avg_session_min,complaints_90d,payment_failures_180d,auto_pay,contract,region_id,country,device,app_version,marketing_source,annual_income,favorite_color,churned
67840241,2023-04-08,2025-12-17,998,2,14.36,0,12,5.91,1,0,0,monthly,104,DE,ios,3.7,ads,21044.0,green,0
39023918,2025-04-27,2025-07-31,248,2,9999.0,0,11,18.5,1,0,1,annual,103,ES,android,5.7,organic,14917.0,blue,1
55246345,2024-12-17,2025-10-18,379,1,6.96,0,8,8.7,0,1,1,monthly,106,ES,android,4.5,organic,0.0,white,0
60276118,2024-04-25,2025-11-13,615,3,32.75,5,10,14.98,1,0,1,annual,102,NL,android,4.9,ads,55430.0,red,0
20637639,2024-04-19,2025-12-27,621,3,35.44,0,12,14.48,0,0,1,monthly,102,IT,android,4.2,ads,55866.0,green,0
89800685,2025-07-29,2025-06-01,155,2,20.91,5,5,20.21,0,1,0,monthly,102,FR,android,5.0,organic,,red,1
62613126,2023-04-05,2025-06-14,1001,2,17.49,0,9,15.7,0,0,1,annual,103,DE,ios,3.5,referral,11834.0,blue,1
51702932,2025-02-02,2025-06-20,332,3,35.87,0,9,10.66,1,0,1,monthly,105,ES,ios,5.2,organic,,black,0
68790124,2023-08-09,2025-12-18,875,3,35.02,0,6,15.66,2,0,0,monthly,106,PT,android,3.8,organic,2324.0,black,0
82592660,2023-04-14,2025-10-09,992,2,19.72,5,7,26.6,2,0,1,monthly,107,ES,android,3.0,organic,46390.0,white,0
68882326,2024-07-30,2025-05-12,519,4,58.85,0,13,19.69,2,0,1,monthly,101,FR,ios,4.7,partner,40915.0,black,0
10364824,2025-12-04,2025-08-15,27,3,38.03,0,10,14.14,0,0,0,annual,101,FR,web,5.9,organic,27106.0,yellow,0
91453377,2025-03-16,2025-12-01,290,4,59.76,0,12,10.0,0,0,0,monthly,103,DE,android,5.9,organic,51502.0,white,0
20490527,2025-04-13,2025-11-28,262,4,63.89,0,10,10.8,2,0,0,monthly,106,FR,android,5.3,organic,-999.0,yellow,0
52546625,2025-02-24,2025-10-29,310,4,58.25,0,9,18.33,1,0,1,monthly,107,NL,web,5.8,ads,,yellow,1
