annual_income_eur,loyalty_score,sessions_per_month,avg_basket_eur,support_tickets_last_6m
90157,0.811,20.6,119.84,1
25723,0.5868,10.3,66.08,0
38745,0.3784,4.4,46.13,4
72604,0.6949,19.8,97.16,1
13431,0.7617,11.5,60.24,2
27630,0.3905,5.5,32.6,4
70488,0.766,23.1,120.25,0
114587,0.508,18.6,134.29,1
17588,0.3934,4.3,5.0,1
88431,0.8722,22.6,101.88,0
25658,0.4399,12.1,40.21,0
31807,0.0927,4.0,36.99,4
71228,0.9103,9.1,68.36,0
31625,0.4664,7.4,26.43,2
27195,0.3656,11.3,51.51,1
18708,0.5535,9.5,51.28,1
82971,0.8665,17.8,104.42,0
17694,0.3253,17.7,64.91,2
24009,0.3247,2.6,28.08,5
79614,0.8119,21.7,114.97,1
77993,0.6634,16.0,35.28,1
40057,0.2163,7.8,53.37,1
26696,0.2262,3.9,38.77,4
35827,0.195,10.7,23.66,2
60079,0.6516,13.3,44.41,2
29720,0.7162,12.7,51.93,3
77701,0.8655,14.9,68.34,0
35009,0.4598,9.4,33.25,1
18967,0.7092,4.2,69.05,3
65811,0.623,10.9,69.88,3
107498,0.6567,22.9,102.25,1
21957,0.522,8.3,33.38,1
22691,0.5442,4.9,57.85,0
26474,0.726,7.5,53.48,2
67432,0.1712,6.4,85.69,0
30291,0.3468,12.8,81.95,0
28964,0.825,8.4,78.26,0
105350,0.5943,19.1,131.38,0
16772,0.6287,3.2,15.92,3
85813,0.5592,32.3,107.61,2
37626,0.7666,13.2,71.97,3
32664,0.0455,3.1,17.02,2
67569,0.8701,21.4,88.35,0
31877,0.6619,5.1,16.86,2
25327,0.6117,10.4,31.39,1
18163,0.2811,6.8,29.9,1
17421,0.1392,2.6,46.78,2
28655,0.5002,18.2,77.13,1
93970,0.6386,22.4,114.11,0
15947,0.7808,16.9,69.47,2
33825,0.413,9.8,43.56,2
34239,0.7485,7.0,22.49,0
87478,0.3999,24.2,96.17,1
86824,0.6347,10.5,85.43,1
73909,0.8473,15.6,102.32,0
66048,0.87,6.8,95.87,0
80353,0.7867,11.2,83.61,2
101985,0.6575,28.5,92.2,0
35289,0.8916,8.6,36.18,0
32280,0.5649,2.3,57.0,0
61808,0.8378,9.9,82.79,1
85904,0.6475,6.2,94.63,0
80552,0.6165,11.0,62.2,0
99429,0.9266,14.7,82.75,0
77636,0.9029,8.8,106.69,2
73289,0.9522,11.5,72.45,0
89778,0.5227,12.2,110.88,0
15073,0.5189,9.3,78.88,1
29910,0.5237,16.6,50.57,1
31209,0.6562,12.0,66.61,1
35023,0.7955,15.5,36.29,3
