monthly_kwh,peak_ratio,night_ratio,avg_outdoor_temp_c,household_size,contract_power_kw
172.0,0.3337,0.6946,13.0,3,2.98
217.2,0.4639,0.5452,18.0,1,3.81
533.1,0.3797,0.5104,22.2,3,4.85
508.3,0.469,0.4989,21.2,3,5.23
947.4,0.525,0.6425,16.2,4,5.17
955.4,0.3658,0.6352,23.8,4,4.15
505.0,0.5804,0.4274,25.8,3,5.0
1021.7,0.893,0.509,18.8,3,3.49
884.5,0.277,0.1514,13.0,3,7.61
422.9,0.5958,0.2463,16.3,4,4.87
654.0,0.1367,0.4834,18.8,3,4.22
682.0,0.453,0.4607,14.0,3,6.78
882.5,0.8178,0.1867,19.5,2,5.37
471.0,0.2704,0.4138,24.3,3,5.13
431.0,0.2931,0.2663,13.9,5,3.53
1187.5,0.685,0.3725,8.3,3,5.27
585.1,0.6477,0.386,16.3,3,5.25
278.0,0.404,0.3746,22.0,1,3.31
262.0,0.8164,0.0786,13.4,4,4.38
1045.5,0.6231,0.1485,26.3,4,5.07
171.7,0.1829,0.6388,21.1,2,4.34
1316.8,0.702,0.2897,21.7,4,6.11
484.9,0.3451,0.5405,24.9,3,3.76
472.8,0.5971,0.5042,21.2,4,4.0
591.3,0.447,0.4795,16.0,4,3.59
344.7,0.4718,0.438,23.6,2,3.06
815.2,0.7166,0.4639,18.0,5,7.74
571.8,0.5571,0.6207,21.0,3,3.38
702.6,0.741,0.3114,24.8,5,6.11
306.3,0.6793,0.5639,14.7,2,3.35
1067.3,0.6045,0.2385,26.2,5,8.08
1239.1,0.8538,0.3277,21.5,4,6.87
490.5,0.64,0.0819,25.5,5,4.67
242.9,0.5716,0.2649,15.6,2,3.78
359.1,0.6399,0.4912,13.9,4,2.85
758.6,0.6033,0.3917,25.6,3,3.96
1106.0,0.8329,0.2513,21.0,6,8.73
384.1,0.6687,0.6897,19.3,5,4.41
315.8,0.5232,0.8904,25.5,3,2.95
224.0,0.1708,0.7675,12.9,3,3.63
535.9,0.4644,0.4933,12.9,2,6.15
525.1,0.63,0.5111,20.2,4,10.35
341.4,0.575,0.6851,20.4,2,2.3
910.4,0.8503,0.4835,17.8,4,5.59
1056.1,0.7863,0.1469,16.3,4,7.83
342.4,0.4927,0.4641,21.7,1,3.59
278.9,0.5299,0.4583,21.3,1,4.33
751.7,0.4846,0.5179,22.7,4,4.67
900.7,0.7207,0.6366,18.4,4,6.22
218.3,0.4862,0.6009,17.2,2,3.02
1032.2,0.792,0.1177,20.7,6,9.72
547.8,0.5343,0.364,21.7,4,4.89
1209.2,0.7594,0.412,18.6,5,4.96
1354.0,0.5119,0.1825,29.3,4,8.07
588.8,0.6674,0.0739,12.6,2,4.68
159.7,0.5507,0.5347,24.2,3,4.2
489.2,0.4448,0.2147,18.4,1,2.52
416.8,0.2463,0.2188,29.7,3,5.03
208.7,0.4692,0.3128,14.2,2,2.75
957.7,0.8157,0.385,15.5,3,5.11
302.9,0.2217,0.6499,24.6,2,3.67
785.6,0.8035,0.2344,19.1,4,4.55
125.6,0.3893,0.5435,14.7,1,2.3
300.0,0.3146,0.5506,17.9,2,3.69
338.6,0.6608,0.5803,16.2,2,3.77
838.3,0.7537,0.1563,19.1,4,5.13
1017.5,0.7202,0.4231,9.7,3,5.37
425.1,0.3271,0.7055,16.7,1,4.1
831.5,0.5961,0.0853,21.2,5,6.08
1245.2,0.8401,0.0347,23.5,4,7.31
725.8,0.3208,0.5417,12.5,3,4.93
584.2,0.5944,0.4714,16.1,2,5.39
654.3,0.402,0.1648,21.8,3,5.31
150.1,0.3909,0.9383,21.9,3,2.91
530.1,0.4426,0.6401,17.6,5,4.28
365.2,0.4024,0.8154,18.2,1,4.38
1235.2,0.6751,0.3203,31.1,5,7.27
1254.9,0.7736,0.4576,31.6,5,6.2
1082.5,0.9359,0.3143,26.1,4,7.78
432.0,0.711,0.2825,14.0,4,3.66
456.2,0.4916,0.4923,16.2,3,4.39
956.7,0.8576,0.211,17.5,4,6.66
277.2,0.1865,0.7299,18.5,2,3.78
287.9,0.3449,0.2637,16.2,1,3.06
416.9,0.3348,0.5063,19.4,5,5.24
554.7,0.5268,0.1098,22.1,3,3.87
669.8,0.4249,0.2324,21.4,3,2.3
182.2,0.3103,0.4691,18.3,2,4.8
254.4,0.7126,0.4645,15.4,5,5.52
274.3,0.5691,0.5814,27.0,2,3.55
389.4,0.2066,0.4415,14.5,3,2.55
449.9,0.2293,0.5349,13.1,2,3.47
474.0,0.5928,0.1755,22.9,3,2.3
1499.4,0.8735,0.3902,24.0,4,7.18
731.8,0.2519,0.3034,19.9,4,4.76
247.4,0.7218,0.155,20.5,4,5.21
811.3,0.9009,0.3205,5.0,3,7.19
600.6,0.7285,0.2956,16.3,4,4.31
1160.8,0.8934,0.0817,14.3,5,8.2
990.7,0.7202,0.7308,7.9,4,4.5
470.9,0.5379,0.385,22.2,4,4.8
418.5,0.279,0.5269,21.8,2,3.63
234.8,0.087,0.6623,16.7,1,2.98
1506.0,0.6394,0.0425,20.4,5,7.48
540.3,0.3283,0.45,26.4,4,5.29
989.6,0.669,0.3023,21.2,5,9.28
1341.9,0.6016,0.1515,22.4,5,8.11
202.8,0.2317,0.5237,17.5,2,3.34
480.2,0.7865,0.2425,19.5,2,3.7
798.3,0.2707,0.5241,17.2,3,4.99
1212.5,0.6455,0.3528,17.4,3,3.77
326.3,0.1824,0.3641,17.1,1,3.14
178.4,0.3475,0.4374,10.5,2,3.94
1252.6,0.8775,0.3171,11.1,4,3.58
280.5,0.8518,0.2788,22.6,3,5.79
811.2,0.6296,0.254,14.2,5,3.21
